No,DPO equation,BG,IP,EA,smiles
F4.1,2 - a + b + -af,4.126,5.713,1.587,c1(cc2sccc2cc1cc3)c4c3cccc4
F4.2,3 - 3*a + -af,3.086,5.239,2.152,s1ccc2c1cc1cc3ccccc3cc1c2
F4.3,2 - a + -af + b0,3.913,5.692,1.779,s1c2cc3ccccc3cc2c2c1cccc2
F4.4,1 + b + df,4.324,5.846,1.522,c1(ccc2sccc2c1cc3)c4c3cccc4
F4.5,2 - a + bf,3.538,5.5,1.962,c1(ccccc1cc2cc3)cc2c4c3scc4
F5.1,2 - a + b + -af + b0,4.02,5.769,1.749,s1c2ccccc2c2cc3c(ccc4c3cccc4)cc12
F5.2,2 - a + 2*b + -af,4.217,5.8,1.584,c(c1c2)(c3ccccc3c4ccccc14)cc5c2scc5
F5.3,2 - a + b + -af +b0,4.011,5.727,1.715,s1c2ccccc2c2cc3c(cc12)c1c(cccc1)cc3
F5.4,2 - a + b + c + -af,3.716,5.545,1.829,c1(c(ccc2c1c3ccccc3cc2)c4)cc5c4ccs5
F5.5,2 - a + b + d + -af,3.805,5.575,1.77,c1(ccccc1c2ccc3c4)ccc2c3cc5c4ccs5
F5.6,3 - 3*a + b + -af,3.264,5.335,2.071,c1(sccc1cc2cc3cc4)cc2cc3c5c4cccc5
F5.7,4 - 6*a + -af,2.45,4.963,2.512,s1ccc2c1cc1cc3cc4ccccc4cc3cc1c2
F5.8,2 - a + b + cf,3.551,5.54,1.988,c1(ccccc1cc2cc3)cc2c4c3ccc5c4scc5
F5.9,2 - a + b + bf,3.706,5.598,1.892,c1(ccccc1cc2c3ccccc43)cc2c5c4scc5
F5.10,2 - a + b + bf,3.685,5.567,1.882,s1ccc2c1ccc1c2cc2ccc3c(cccc3)c2c1
F5.11,3 - 3*a + bf,2.795,5.149,2.354,c1(cc2ccccc2cc1cc3cc4)cc3c5c4scc5
F5.12,2 - a + b + b*df,3.681,5.574,1.893,c1(ccccc1cc2cc3)cc2c(c4)c3cc5c4scc5
F5.13,2 - a + b + df,3.585,5.536,1.951,c1(ccccc1cc2cc3)cc2c(cc4)c3c5c4scc5
