No,DPO equation,BG,IP,EA,smiles
F8.9,5 - 10*a + 2*b + -af,2.176,4.857,2.681,s1ccc2cc3c(cc12)cc1cc2cc4c(cc2cc1c3)c1ccccc1c1c4cccc1
F8.10,3 - 3*a + 2*b + -af +2*b0,3.314,5.502,2.188,s1c2cc3c(cccc3)cc2c2cc3c(cc12)cc1c(c3)c2ccccc2c2c1cccc2
F8.11,4 - 6*a + 2*b + -af +b0,2.722,5.159,2.437,s1c2ccccc2c2cc3cc4cc5c(cc4cc3cc12)c1c(c2ccccc52)cccc1
F8.12,2 - a + b + d + b*d + d*d + b*d*d + -af,3.762,5.577,1.815,s1ccc2cc3c(cc12)c1c(cc3)c2c(cc1)c1ccc3c4ccccc4ccc3c1cc2
F8.13,3 - 3*a + 2*b + d + b*d + -af,3.231,5.322,2.091,s1ccc2cc3cc4c5ccccc5c5c(c4cc3cc12)ccc1ccc2ccccc2c51
F8.14,4 - 6*a + b + b*d + b*d*d + -af,2.699,5.101,2.402,s1ccc2c1cc1cc3cc4c(ccc5c4cc4cc6c(cc4c5)cccc6)cc3cc1c2
F8.15,5 - 10*a + b + -af + b0,2.155,4.876,2.721,s1c2c(c3cc4cc5cc6c(cc5cc4cc13)cc1c(ccc3ccccc13)c6)cccc2
F8.16,3 - 3*a + b + c + b*df + b*df*df,2.807,5.174,2.367,s1ccc2cc3c(ccc4c3ccc3c4c4c(cc3)cc3c(c4)cc4ccccc4c3)cc12
F8.17,3 - 3*a + b + b*d + c*df + c*df*df,2.89,5.218,2.328,s1ccc2c1cc1c(ccc3cc4c(c5c(cc4)cc4c(c5)cc5ccccc5c4)cc13)c2
F8.18,3 - 3*a + b + c + b*d + bf,2.82,5.196,2.375,s1ccc2c1c1c(cc2)cc2cc3c4c(ccc3cc2c1)ccc1c2ccccc2ccc41
F8.19,3 - 3*a + 3*b + bf,3.204,5.408,2.204,s1ccc2c1c1c(cccc1)c1c2cc2cc3c(cc2c1)c1c(cccc1)c1c3cccc1
F8.20,5 - 10*a + b + bf,1.954,4.783,2.829,s1ccc2c1ccc1cc3cc4cc5cc6ccc7ccccc7c6cc5cc4cc3cc21
F8.21,2 - a + b + d + b*d + d*d + b*df*df,3.447,5.494,2.047,s1ccc2c1c1c(cc2)c2c(cc1)c1c(c3c(cc1)c1cc4ccccc4cc1cc3)cc2
F8.22,2 - a + b + d + b*d + df*df + df*df*(1-a),3.385,5.432,2.047,s1ccc2cc3c(ccc4c3ccc3c4ccc4c3ccc3c4cc4ccccc4c3)cc12
F8.23,2 - a + b + d + d*(1-a) + b*d + df*df,3.171,5.348,2.177,s1ccc2c1ccc1c2ccc2cc3c(ccc4c3ccc3c4cc4ccccc4c3)cc12
F8.24,3 - 3*a + b + df + df*(1-a) + df*(1-2*a),2.539,5.045,2.506,s1ccc2cc3cc4c(ccc5c4ccc4c5cc5cc6ccccc6cc5c4)cc3cc12
T7.1,5 - 10*a + -af + bf ,2.04,4.773,2.733,s1ccc2cc3cc4cc5c(cc4cc3cc12)cc1c2c(scc2)ccc1c5
T7.2,2 - a + 2*b + 2*cf,3.533,5.527,1.994,s1ccc2c1ccc1c2c2c(cc3ccccc3c2)c2c1ccc1c2ccs1
T7.3,4 - 6*a + -af + b + df ,2.555,5.026,2.472,s1ccc2cc3cc4c(cc3cc12)cc1c(ccc2c1ccc1c2scc1)c4
T7.4, 3 - 3*a + -af + b + df + df*(1-a),2.994,5.199,2.205,s1ccc2cc3c(cc12)cc1c(ccc2c1ccc1c2cc2sccc2c1)c3
T7.5,4 - 6*a + 2*bf,2.3,4.922,2.622,s1ccc2c1ccc1cc3cc4cc5c(cc4cc3cc21)c1c(scc1)cc5
T7.6,3 - 3*a + -af + b + b*d + df*df,3.309,5.354,2.044,s1ccc2c1cc1cc3c(ccc4c3cc3ccc5c(ccs5)c3c4)cc1c2
T7.7,3 - 3*a + -af + b + d + b*df,3.066,5.248,2.182,s1ccc2c1cc1cc3c(ccc4c3ccc3c4c4c(scc4)cc3)cc1c2
T7.8,4 - 6*a + -af + b + cf,2.554,5.018,2.465,s1ccc2cc3cc4c(cc3cc12)cc1c(ccc2c1c1c(scc1)cc2)c4
T7.9,6 - 15*a + -af,1.815,4.649,2.834,s1ccc2cc3cc4cc5cc6cc7c(ccs7)cc6cc5cc4cc3cc12
T7.10,3 - 3*a + -af + b + b*df + b*df*df,3.269,5.357,2.088,s1ccc2cc3cc4c(cc3cc12)c1cc2cc3c(ccs3)cc2cc1cc4
T7.11,3 - 3*a + -af + b + d + b*df,3.089,5.269,2.18,s1ccc2c1cc1cc3c(ccc4c3ccc3c4ccc4c3scc4)cc1c2
T7.12,3 - 3*a + bf + b + df,2.898,5.21,2.311,s1ccc2c1ccc1cc3cc4c(cc3cc21)c1c(cc4)c2c(scc2)cc1
T7.13,2 - a + bf + b + df + df*(1-a),3.331,5.378,2.048,s1ccc2c1cc1ccc3c(ccc4c3cc3c5c(scc5)ccc3c4)c1c2
T7.14,3 - 3*a + -af + 2*b + df,3.325,5.359,2.034,s1ccc2cc3cc4c(cc3cc12)c1c(c2c(scc2)cc1)c1c4cccc1
T7.15,2 - a + 2*b + 2*b*df,3.78,5.681,1.901,s1ccc2cc3c(cc12)c1c(cc2ccccc2c1)c1c3cc2ccsc2c1
T7.16,2 - a + bf + b + b*d + df*df,3.575,5.522,1.947,s1ccc2c1ccc1cc3c(ccc4cc5c(ccc6c5ccs6)cc34)cc21
T7.17,2 - a + 2*bf + b + d,3.408,5.447,2.039,s1ccc2c1ccc1cc3c(cc21)c1c(scc1)c1c3ccc2ccccc12
T7.18,2 - a + -af + b + d + b*d + b*df,3.8,5.584,1.784,s1ccc2c1cc1c(ccc3c1ccc1c3c3c(scc3)c3c1cccc3)c2
T8.1,6 - 15*a + -af + bf,1.683,4.616,2.933,s1ccc2c1cc1cc3cc4cc5cc6c7c(scc7)ccc6cc5cc4cc3cc1c2
T8.2,5 - 10*a + -af + b + b*df,2.133,4.82,2.688,s1ccc2c1cc1cc3cc4cc5c(ccc6cc7c(scc7)cc56)cc4cc3cc1c2
T8.3,5 - 10*a + -af + b + df,2.082,4.806,2.723,s1ccc2c3ccc4cc5cc6cc7cc8c(scc8)cc7cc6cc5cc4c3ccc12
T8.4,4 - 6*a + -af + b + df + df*(1-a),2.465,4.973,2.508,s1ccc2cc3c4ccc5cc6cc7cc8c(scc8)cc7cc6cc5c4ccc3cc12
T8.5,4 - 6*a + -af + b + c + c*df,2.43,4.954,2.523,s1ccc2cc3c4c(ccc5cc6cc7cc8c(scc8)cc7cc6cc45)ccc3cc12
T8.6,3 - 3*a + -af + b + b*d + df*df + (1-a)*df*df,3.195,5.302,2.108,s1ccc2cc3c4cc5ccc6cc7cc8c(scc8)cc7cc6c5cc4ccc3cc12
T8.7,3 - 3*a + -af + b + d + d*(1-a) + df*b,2.902,5.18,2.278,s1ccc2c1ccc1cc3c4ccc5cc6cc7c(scc7)cc6cc5c4ccc3cc21
T8.8,5 - 10*a + 2*bf,1.868,4.727,2.859,s1ccc2c1c1c(ccs1)c1cc3cc4cc5cc6ccccc6cc5cc4cc3cc21
T8.9,3 - 3*a + 2*b + 2*bf,3.132,5.344,2.212,s1ccc2c1c1ccccc1c1cc3cc4c(cc3cc21)c1c(cccc1)c1c4ccs1
T8.10,3 - 3*a + b + bf + b + df,3.042,5.3,2.258,s1ccc2c3ccc4cc5cc6c(cc5cc4c3ccc12)c1c(cccc1)c1c6ccs1
T8.11,3 - 3*a + -af + b + b*d + c*d + b*df*df,3.256,5.352,2.095,s1ccc2c1cc1cc3c(ccc4c3cc3c(ccc5c3ccc3c5ccs3)c4)cc1c2
T8.12,3 - 3*a + -af + 2*b + d + b*df,3.213,5.327,2.114,s1ccc2cc3cc4c5ccccc5c5c6ccc7ccsc7c6ccc5c4cc3cc12
T8.13,4 - 6*a + -af + b + b*df + b*df*df,2.681,5.078,2.397,s1ccc2c1cc1cc3cc4c(ccc5cc6cc7c(scc7)cc6cc45)cc3cc1c2
T8.14,5 - 10*a + 2*bf,1.883,4.732,2.849,s1ccc2c3cc4cc5cc6cc7ccc8c(ccs8)c7cc6cc5cc4cc3ccc12
T8.15,3 - 3*a + 2*b + df + cf,2.947,5.25,2.303,s1ccc2c1ccc1c2c2c(c3c(scc3)cc2)c2c1cc1cc3ccccc3cc1c2
T8.16,3 - 3*a + 2*b + df + df,2.968,5.255,2.286,s1ccc2c1ccc1c2c2c(ccc3c2ccs3)c2c1cc1cc3ccccc3cc1c2
